time_to_depletion,total_nectar_collected,time_to_first_nectar,success,idle_prob,follow_prob,rep,perc_scouts,sense_range,kappa_0,alpha,beta,w_dir
,40,,False,0.125,,2,,,50.0,,,
,37,,False,0.25,,0,,,1.0,,,
,45,,False,0.125,,4,,,50.0,,,
,37,,False,0.25,,2,,,1.0,,,
,38,,False,0.25,,1,,,1.0,,,
,43,,False,0.25,,3,,,1.0,,,
,41,,False,0.25,,4,,,1.0,,,
,43,,False,0.25,,0,,,5.0,,,
,50,,False,0.25,,2,,,5.0,,,
,52,,False,0.25,,1,,,5.0,,,
,37,,False,0.25,,3,,,5.0,,,
,47,,False,0.25,,4,,,5.0,,,
,47,,False,0.25,,0,,,10.0,,,
,49,,False,0.25,,2,,,10.0,,,
,43,,False,0.25,,1,,,10.0,,,
,47,,False,0.25,,3,,,10.0,,,
,31,,False,0.25,,4,,,10.0,,,
,38,,False,0.25,,0,,,20.0,,,
,43,,False,0.125,,4,,,10.0,,,
,48,,False,0.25,,2,,,20.0,,,
,50,,False,0.25,,1,,,20.0,,,
,52,,False,0.25,,4,,,20.0,,,
,50,,False,0.25,,1,,,50.0,,,
,55,,False,0.25,,0,,,50.0,,,
,50,,False,0.25,,3,,,20.0,,,
,34,,False,0.25,,2,,,50.0,,,
,48,,False,0.25,,3,,,50.0,,,
,54,,False,0.25,,4,,,50.0,,,
,48,,False,0.375,,0,,,1.0,,,
,43,,False,0.375,,1,,,1.0,,,
,55,,False,0.375,,2,,,1.0,,,
,41,,False,0.375,,3,,,1.0,,,
,46,,False,0.375,,4,,,1.0,,,
,51,,False,0.375,,0,,,5.0,,,
,51,,False,0.375,,1,,,5.0,,,
,41,,False,0.375,,2,,,5.0,,,
,47,,False,0.375,,3,,,5.0,,,
,40,,False,0.375,,4,,,5.0,,,
,46,,False,0.375,,0,,,10.0,,,
,45,,False,0.375,,1,,,10.0,,,
,44,,False,0.375,,2,,,10.0,,,
,43,,False,0.375,,3,,,10.0,,,
,48,,False,0.375,,4,,,10.0,,,
,48,,False,0.375,,0,,,20.0,,,
,38,,False,0.375,,1,,,20.0,,,
,53,,False,0.375,,2,,,20.0,,,
,45,,False,0.375,,3,,,20.0,,,
,50,,False,0.375,,4,,,20.0,,,
,46,,False,0.375,,0,,,50.0,,,
,44,,False,0.375,,1,,,50.0,,,
,61,,False,0.375,,2,,,50.0,,,
,36,,False,0.375,,3,,,50.0,,,
,44,,False,0.375,,4,,,50.0,,,
